	Term	Freq
380	монгол	10
381	помещик	10
382	знаток	10
383	аспирантура	10
384	топоним	10
385	правнук	10
386	слиток	10
387	достоверность	10
388	штукатурка	10
389	мемфис	10
390	гипс	10
391	покровитель	10
392	расчистка	10
393	засада	10
394	зарядье	10
395	афинянин	10
396	формулировка	10
397	позвоночник	10
398	повстанец	10
399	паразит	10
400	латы	10
401	переселение	10
402	адмирал	10
403	венеция	10
404	участь	10
405	венера	10
406	особь	10
407	дань	10
408	мародер	10
409	имение	10
410	потомство	10
411	писец	10
412	смоленск	10
413	рукоятка	10
414	металлоискатель	10
415	пергамент	10
416	хранилище	10
417	салоники	10
418	траян	10
419	написание	10
420	осознание	9
421	портал	9
422	привилегия	9
423	аполлон	9
424	эмаль	9
425	стенограмма	9
426	клеймо	9
427	просветитель	9
428	родоначальник	9
429	почерк	9
430	трещина	9
431	роды	9
432	поклонение	9
433	тематика	9
434	тибр	9
435	траншея	9
436	наместник	9
437	контур	9
438	терминология	9
439	предсказание	9
440	око	9
441	порошок	9
442	боярин	9
443	преодоление	9
444	свинина	9
445	тутмос	9
446	западник	9
447	причерноморье	9
448	датчанин	9
449	шимпанзе	9
450	мореплаватель	9
451	прочтение	9
452	обезьяна	9
453	манифест	9
454	развалины	9
455	усадьба	9
456	столп	9
457	запустение	9
458	миллиметр	9
459	милет	9
460	исток	9
461	водолаз	9
462	пигмент	9
463	социолог	9
464	предпочтение	9
465	уроженец	9
466	колдовство	9
467	скребка	9
468	могильник	9
469	рукоять	9
470	филология	9
471	славянофил	9
472	сожжение	9
473	геноцид	9
474	полость	9
475	сатира	9
476	сера	9
477	цистерна	9
478	освещение	9
479	энтузиаст	9
480	бунт	9
481	изобретатель	9
482	микены	9
483	хаос	9
484	избрание	9
485	юпитер	9
486	фольклор	9
487	отметка	9
488	дуб	9
489	совпадение	9
490	гимн	9
491	леди	9
492	флоренция	9
493	разграбление	9
494	доколумбов	9
495	мезолит	9
496	обсидиан	9
497	руда	9
498	базилик	9
499	аннотация	9
500	казарма	9
501	застежка	9
502	эпитафия	9
503	величие	9
504	идеолог	9
505	штурм	9
506	беспорядок	9
507	социология	9
508	периферия	9
509	сми	9
510	ловушка	9
511	рептилия	9
512	синагога	9
513	легион	9
514	декабрист	9
515	гарнизон	9
516	могущество	8
517	гот	8
518	фитолит	8
519	морфология	8
520	крючок	8
521	противоположность	8
522	презентация	8
523	похищение	8
524	конгресс	8
525	заложник	8
526	прорисовка	8
527	экономист	8
528	схватка	8
529	диапазон	8
530	базальт	8
531	изъятие	8
532	олово	8
533	бюрократия	8
534	прокладка	8
535	энциклопедия	8
536	исцеление	8
537	обзор	8
538	эскимос	8
539	марксист	8
540	консул	8
541	монумент	8
542	рейн	8
543	гавриил	8
544	крестьянство	8
545	хранитель	8
546	бухта	8
547	обрывок	8
548	бизон	8
549	пашня	8
550	первооткрыватель	8
551	акрополь	8
552	шаман	8
553	прямоугольник	8
554	монополия	8
555	финикиец	8
556	шотландец	8
557	рыцарь	8
558	факел	8
559	булавка	8
560	интеллектуал	8
561	взаимосвязь	8
562	дионис	8
563	ацтек	8
564	вымирание	8
565	развалина	8
566	ископаемое	8
567	дева	8
568	грамматика	8
569	прага	8
570	толчок	8
571	антропология	8
572	украинск	8
573	амфитеатр	8
574	сундук	8
575	олимпиада	8
576	смола	8
577	верование	8
578	клятва	8
579	плодородие	8
580	бирка	8
581	дубина	8
582	лезвие	8
583	валун	8
584	чехословакия	8
585	подавление	8
586	попадание	8
587	доспехи	8
588	миссионер	8
589	бордо	8
590	грант	8
591	баллиста	8
592	заголовок	8
593	рига	8
594	куратор	8
595	вмешательство	8
596	треугольник	8
597	мятеж	8
598	фасад	8
599	ньюфаундленд	8
600	обитание	8
601	богослужение	8
602	псков	8
603	заговорщик	8
604	евфрат	8
605	леса	8
