Мусор,6120
Технологии,5775
Космос,4327
Биология,4056
История,2262
Физика,1974
Физиология человека,1807
Культура,709
Науки о земле,576
Язык,529
Химия,506
Социология,471
Computer Science,421
Психология,383
Математика,258
Экономика,232
Футурология,188
Философия,144
Политология,55
