	mentions	scholar
303	2	Олег Бочкарев
304	2	Ася Казанцева
305	2	Каролина
306	2	Джуди Массар
307	2	Зализняка
308	2	Цао
309	2	Мерфи
310	2	Альберта Эйнштейна Подольского
311	2	Натана Розена
312	2	Ольстера
313	2	Нильсен
314	2	Рубцов
315	2	Гаврилова
316	2	Кентукки
317	2	Петербурге
318	2	Варламова
319	2	Эрнесто Скиапарелли
320	2	Хьюстона
321	2	Церера
322	2	Дакоты
323	2	Аризонского
324	2	Артур Шопенгауэр
325	2	Мартин Смит
326	2	Арман
327	2	Дэвида
328	2	Николаса Ривза
329	2	Леони
330	2	Хадза
331	2	Аврора
332	2	Маршалл Уайслер
333	2	Уайслер
334	2	Мюллера
335	2	Нейрофизиологи
336	2	Агафонов
337	2	Мирелла Серлонцени
338	2	Мэтью Коллинз
339	2	Серджио Канаверо
340	2	Дронов-Курьеров
341	2	Стенфордского
342	2	Шевченко
343	2	Георг Фойльнер
344	2	Хокинг
345	2	Альберт Эйнштейн
346	2	Мэтт Руссо
347	2	Пармитано
348	2	Эйндховена
349	2	Пиперски
350	2	Сергей Мироненко
351	2	Померанцева
352	2	Юрий Бродский
353	2	Исаму Акасаки Хироси Амано
354	2	Гуденафа
355	2	Филиппа
356	2	Шринивасан
357	2	Уильямом
358	2	Утрехтского
359	2	Маастрихтского
360	2	Стивеном Хокингом
361	2	Джордж Куэто
362	2	Мэри Швейцер
363	2	Окли
364	2	Мариана
365	2	Богачев
366	2	Ноэль
367	2	Джейн Уилкинс
368	2	Торонтского
369	2	Коннектикута
370	2	Хуана Малдасены
371	2	Флеминг
372	2	Тимоти
373	2	Оттавы
374	2	Стивен
375	2	Понтус Скоглунд
376	2	Дерек
377	2	Сергей
378	2	Белфаста
379	2	Эммы Шеррат
380	2	Ланкашира
381	2	Гэри Путерка
382	2	Балдомеро Оливера
383	2	Уолтер Чинкель
384	2	Норберт Юргенс
385	2	Беата Уйвари
386	2	Пантелеев
387	2	Мэтью Моррис
388	2	Хопкинса
389	2	Шульца
390	2	Масато Йосидзава
391	2	Телеканал
392	2	Демет
393	2	Терри
394	2	Фицуильяма
395	2	Симона Йертс
396	2	Коэном
397	2	Алан
398	2	Армен Мулкиджанян
399	2	Кэмпбелл
400	2	Гаджет
401	2	Мухаметов
402	2	Уэбба
403	2	Шампалимо
404	2	Томас Эдисон
405	2	Аляска
406	2	Ренкин
407	2	Питер Вет
408	2	Эссена
409	2	Артур Макдональд
410	2	Коммерсантъ
411	2	Кеплера
412	2	Сапфо
413	2	Шарп
414	2	Эмери
415	2	Петерсон
416	2	Кеннет
417	2	Массимо Делла Валле
418	2	Соваж
419	2	Шарон
420	2	Павла Певзнера
421	2	Стюарт
422	2	Флетчера
423	2	Джайна
424	2	Бойко
425	2	Шеннон
