,link,source,date,title,subtitle,author,rubrics,tags
0,polit.ru//news/2012/09/12/ps_bacteriofag/,http://polit.ru/rubric/proscience/,12 сентября 2012,"Бактериофаги можно купить только в Грузии, России и Польше",,,,_бактериофаги_биология _естественные и точные науки_медицина
0,polit.ru//news/2012/09/12/ps_brain_education/,http://polit.ru/rubric/proscience/,12 сентября 2012,Исследования мозга заставляют пересмотреть подходы к обучению,,,,_естественные и точные науки_мозг_нейробиология
0,polit.ru//news/2012/09/13/ps_parasite_tounge/,http://polit.ru/rubric/proscience/,13 сентября 2012,Мокрицы-паразиты умеют превращаться в рыбьи языки,,,,_биология _естественные и точные науки_паразиты
0,polit.ru//news/2012/09/13/ps_point_of_law/,http://polit.ru/rubric/proscience/,13 сентября 2012,Точки повышения рельефа подчиняются законам математики,,,,_геология_естественные и точные науки
0,polit.ru//news/2012/09/14/ps_triple_death/,http://polit.ru/rubric/proscience/,14 сентября 2012,"Найден скелет рыбы, которая убила птеродактиля, который съел рыбу",,,,_естественные и точные науки_палеонтология
0,polit.ru//news/2012/09/15/ps_scand_kills/,http://polit.ru/rubric/proscience/,15 сентября 2012,Средневековые скандинавы налаживали отношения с помощью наложниц,,,,_гуманитарные и социальные  науки_саги_федор успенский
0,polit.ru//news/2012/10/01/ps_scars_vs_cry/,http://polit.ru/rubric/proscience/,01 октября 2012,Восточно-африканские племена шрамируют капризных детей,,,,_восточная африка_гуманитарные и социальные  науки
0,polit.ru//news/2012/10/02/ps_india_free_voice_call/,http://polit.ru/rubric/proscience/,02 октября 2012,Индийские власти отменяют плату за голосовую связь ,,,,_индия_интернет_сотовая связь
0,polit.ru//news/2012/10/05/ps_bold_n_hairy/,http://polit.ru/rubric/proscience/,05 октября 2012,Эксперименты на мышах проясняют механизмы облысения,,,,_биология _естественные и точные науки
0,polit.ru//news/2012/10/05/ps_newcellsfromlymph/,http://polit.ru/rubric/proscience/,05 октября 2012,Ученым удалось вырастить новые клетки в лимфоузлах,,,,_биология _естественные и точные науки_стволовые клетки
0,polit.ru//news/2012/10/05/ps_yoda_underwater/,http://polit.ru/rubric/proscience/,05 октября 2012,Учитель Йода обитает в Атлантическом океане,,,,_биология _естественные и точные науки
0,polit.ru//news/2012/10/07/ps_erasememory/,http://polit.ru/rubric/proscience/,07 октября 2012,Стиратели памяти могут стать реальностью,,,,_естественные и точные науки_нейробиология_память
0,polit.ru//news/2012/10/12/ps_bees_dance/,http://polit.ru/rubric/proscience/,12 октября 2012,Пчелы кодируют информацию длиной и частотой звука,,,,_биология _естественные и точные науки_этология
0,polit.ru//news/2012/10/12/ps_onecellinseption/,http://polit.ru/rubric/proscience/,12 октября 2012,Iphone4 научился снимать кардиограмму,,,,_биология _гаджеты_естественные и точные науки_медицина
0,polit.ru//news/2012/10/15/ps_artov/,http://polit.ru/rubric/proscience/,15 октября 2012,Японцы научились изготавливать яйцеклетки и сперматозоиды из клеток мышей,,,,
0,polit.ru//news/2012/10/18/ps_goldgorillas/,http://polit.ru/rubric/proscience/,18 октября 2012,Гориллы предпочитают золото,,,,_язык
0,polit.ru//news/2012/10/18/ps_standeducation/,http://polit.ru/rubric/proscience/,18 октября 2012,"Университет дает свободу, горизонтальные связи и радость от творчества",,,,
0,polit.ru//news/2012/10/19/ps_darknessofmatterandfinance1/,http://polit.ru/rubric/proscience/,19 октября 2012,На пути расшифровки геномов «темной материи жизни» стоят правила финансирования мегагрантов,,,,_естественные и точные науки_мегагранты_певзнер павел_расшифровка генома
0,polit.ru//news/2012/10/19/ps_khe_khe_inhale/,http://polit.ru/rubric/proscience/,19 октября 2012,Легочное дыхание возникло из кашля,,,,
0,polit.ru//news/2012/10/20/ps_aeromicrob/,http://polit.ru/rubric/proscience/,20 октября 2012,В США составлен рейтинг аэропортов-распространителей инфекций,,,,_гонолулу_лос-анджелес_нью-йорк
