path,source,url,date,title,subtitle,author,rubrics,tags,genre
chrdk.ru/articles/sci_belkov_about_old_diet.txt,https://chrdk.ru/,https://chrdk.ru/sci/belkov_about_old_diet,14.11.2017,"Мыши — это не мухи, а дрожжи — даже не животные",Химик-технолог Сергей Белков разбирает исследование о вреде «старой» еды для организма,,,Биология_Еда_Российская наука,Статьи
chrdk.ru/articles/sci_Biobots.txt,https://chrdk.ru/,https://chrdk.ru/sci/Biobots,08.08.2016,Ни жив ни мертв ,Ученые полюбили делать биороботов ,Михаил Петров,,Науки о живом_Биотехнологии_Робототехника_Биология_Нанотехнологии_Футурология_Репортаж_Видео_3D-печать,Статьи
chrdk.ru/articles/sci_bionics_october.txt,https://chrdk.ru/,https://chrdk.ru/sci/bionics_october,14.11.2016,Дайджест новостей бионики,"Робот с бактериальным мозгом, шпинат-ищейка и другие бионические фокусы октября",Михаил Петров,,Науки о живом_Информационные технологии_Генетика_Нейронауки_Биология_Нанотехнологии_Футурология,Статьи
chrdk.ru/articles/sci_black_holes.txt,https://chrdk.ru/,https://chrdk.ru/sci/black_holes,04.04.2017,Увидеть черную дыру и не умереть,Что мы знаем о черных дырах,Екатерина Боровикова,,Астрономия,Статьи
chrdk.ru/articles/sci_bolshe-gossluzhashchie-ili-uchenye.txt,https://chrdk.ru/,https://chrdk.ru/sci/bolshe-gossluzhashchie-ili-uchenye,25.11.2016,Госслужащие или ученые?,"Чиновники, которые стали членами Российской академии наук.",Алиса Веселкова,,Интервью,Статьи
chrdk.ru/articles/sci_cash_on_the_barrelhead.txt,https://chrdk.ru/,https://chrdk.ru/sci/cash_on_the_barrelhead,27.06.2017,Деньги на бочку!,"Суперсимметрия, климат и будущее человечества — о чем и на что спорят ученые",Екатерина Боровикова,,Физика_Экономика_Изменение климата_Футурология,Статьи
chrdk.ru/articles/sci_caterpillars-controversy.txt,https://chrdk.ru/,https://chrdk.ru/sci/caterpillars-controversy,15.09.2017,Едят ли гусеницы полиэтилен?,Исследование полугодичной давности уличили в недостатке доказательств,,,Науки о живом,Статьи
chrdk.ru/articles/sci_cellular-tragedies-pt1.txt,https://chrdk.ru/,https://chrdk.ru/sci/cellular-tragedies-pt1,08.11.2017,"Клеточные трагедии, часть 1",На грани самоубийства,Полина Лосева,,Биология_Клеточные трагедии_Клеточная биология,Статьи
chrdk.ru/articles/sci_cellular-tragedies-pt2.txt,https://chrdk.ru/,https://chrdk.ru/sci/cellular-tragedies-pt2,13.11.2017,"Клеточные трагедии, часть 2",Жизнь в условиях стресса,Полина Лосева,,Биология_Клеточные трагедии_Клеточная биология,Статьи
chrdk.ru/articles/sci_cellular-tragedies-pt3.txt,https://chrdk.ru/,https://chrdk.ru/sci/cellular-tragedies-pt3,20.11.2017,"Клеточные трагедии, часть 3",Шок!,Полина Лосева,,Биология_Клеточные трагедии_Клеточная биология,Статьи
