path,source,date,title,subtitle,author,rubrics,tags
https://chrdk.ru/sci/caterpillars-controversy,https://chrdk.ru/,15.09.2017,Едят ли гусеницы полиэтилен?,Исследование полугодичной давности уличили в недостатке доказательств,,,Науки о живом
https://chrdk.ru/sci/cellular-tragedies-pt1,https://chrdk.ru/,08.11.2017,"Клеточные трагедии, часть 1",На грани самоубийства,Полина Лосева,,Биология_Клеточные трагедии_Клеточная биология
https://chrdk.ru/sci/cellular-tragedies-pt2,https://chrdk.ru/,13.11.2017,"Клеточные трагедии, часть 2",Жизнь в условиях стресса,Полина Лосева,,Биология_Клеточные трагедии_Клеточная биология
https://chrdk.ru/sci/cellular-tragedies-pt3,https://chrdk.ru/,20.11.2017,"Клеточные трагедии, часть 3",Шок!,Полина Лосева,,Биология_Клеточные трагедии_Клеточная биология
https://chrdk.ru/sci/cell_free_dna,https://chrdk.ru/,16.03.2017,Внеклеточная ДНК: история в пяти вопросах,"Что умеет ДНК, кроме передачи информации, как она работает вне клетки и можем ли мы это использовать",Полина Лосева,,Молекулярная биология_Биология_Медицина
https://chrdk.ru/sci/chemo_camo,https://chrdk.ru/,22.04.2017,Правила камуфляжа,Биология и математика управляют окраской животных,Михаил Петров,,Науки о живом_Химия_Молекулярная биология
https://chrdk.ru/sci/chem_muzhchiny_otlichajutsa_ot_zhenschin,https://chrdk.ru/,21.08.2015,(Не) слишком разные,«Чердак» разобрался с популярными стереотипами о мужчинах и женщинах,Алексей Тимошенко,,История_Психология_Нейронауки_Биология
https://chrdk.ru/sci/chem_neandertalskie_mladentsy_otlichautsya_ot_sovremennyh,https://chrdk.ru/,24.05.2016,Младенчество неандертальца,Чем неандертальские младенцы отличаются от современных?,Екатерина Боровикова,,Интервью_Российская наука_Антропология_Выбор редакции
https://chrdk.ru/sci/cherdak_obyasnyaet_otchego_my_hrapim_i_kak_s_etim_borotsya,https://chrdk.ru/,18.01.2016,Дайте людям спать спокойно,"«Чердак» объясняет, отчего мы храпим и как с этим бороться",,,История_Медицина
https://chrdk.ru/sci/chernye_dyry_v_tsentrah_galaktik_ne_daut_rozhdatsya_novym_zvezdam,https://chrdk.ru/,25.05.2016,Нерожденные звезды,Как черные дыры в центрах галактик не дают рождаться новым звездам,Екатерина Боровикова,,Астрономия_Интервью_Российская наука_Репортаж_Видео
https://chrdk.ru/sci/chess_centaur,https://chrdk.ru/,11.05.2017,Шахматные кентавры,Как люди и компьютеры стали играть в шахматы вместе,Михаил Петров,,Математика_Информационные технологии_Робототехника_Футурология
https://chrdk.ru/sci/chto_budut_obsuzhdat_na_sammite_v_parizhe,https://chrdk.ru/,30.11.2015,заг,подзаг,,,Климат_Изменение климата_Экология
https://chrdk.ru/sci/chto_mozhno_kolonizirovat_v_solnechnoj_sisteme,https://chrdk.ru/,22.07.2015,Дом в небесах,На каких телах в Солнечной системе можно основать колонию,Алексей Паевский,,Прогнозы_Космос_Футурология
https://chrdk.ru/sci/chto_my_uznali_o_venere_v_xx_veke_i_kak_ee_planiruetsya_issledovat_seichas,https://chrdk.ru/,22.10.2015,Удивительная планета,Что мы узнали о Венере в XX веке и как планируется исследовать ее сейчас,Екатерина Боровикова,,Астрономия_Футурология_Российская наука
https://chrdk.ru/sci/chto_new_horizons_uvideli_na_puti_k_plutonu_i_za_nego,https://chrdk.ru/,19.01.2016,"Плутон: горы, лед, дюны и голубые небеса",Что New Horizons увидел на пути к Плутону и за него,Екатерина Боровикова,,Астрономия_История_Авиация и космос
https://chrdk.ru/sci/chto_proishodit_s_mozgom_kogda_my_zaderzhivaem_dyhanie,https://chrdk.ru/,31.05.2016,Дышите — не дышите,"Что происходит с мозгом, когда мы задерживаем дыхание",Екатерина Боровикова,,Нейронауки_Российская наука_Репортаж_Видео
https://chrdk.ru/sci/chto_proishodit_v_znamenitoi_petrovskoi_kunstkamere_segodnya,https://chrdk.ru/,23.12.2015,"«Дом» из костей мамонта, Венеры палеолита  и поколение Y",Что происходит в знаменитой петровской Кунсткамере сегодня,Екатерина Боровикова,,Археология_Российская наука_Музей
https://chrdk.ru/sci/chto_takoe_novaya_fizika_i_kak_naiti_ee_v_uskoritelyah_pod_zemlei_i_v_teleskopah,https://chrdk.ru/,07.09.2015,"Пятое измерение, темная материя и гравитоны","Что такое новая физика и как найти ее в ускорителях, под Землей и в телескопах",Александра Борисова,,Физика_Российская наука_Большой адронный коллайдер_ОИЯИ
https://chrdk.ru/sci/chto_takoe_svetovoi_parus_kak_on_rabotaet_i_mozhno_li_s_nim_uletet_k_alfa_tsentavra,https://chrdk.ru/,13.04.2016,"Не столько транспорт, сколько оружие","Эксперт объяснил, как работает световой парус и можно ли с ним улететь к звездам",Михаил Петров,,Космос_Интервью_Футурология_Авиация и космос
https://chrdk.ru/sci/chto_znachit_nalichie_vody_na_marse_dlya_ego_osvoeniya_i_poiska_zhizni,https://chrdk.ru/,07.10.2015,Подземные реки и марсианское топливо ,Как недавнее обнаружение на Марсе жидкой воды продвинет его освоение ,Екатерина Боровикова,,Астрономия_Интервью_Футурология_Российская наука
https://chrdk.ru/sci/chuma-xx-veka-vzglyad-iz-xi,https://chrdk.ru/,29.11.2016,Чума XX века: взгляд из XXI,"Вакцины, генная терапия и другие новые методы лечения ВИЧ",Михаил Петров,,Биотехнологии_Молекулярная биология_Биология_Медицина
https://chrdk.ru/sci/citizen_science,https://chrdk.ru/,29.03.2017,Ученые в штатском,Как залипать у компьютера с пользой для науки,Екатерина Боровикова,,Астрономия_Информационные технологии_Генетика_Медицина_Лингвистика
https://chrdk.ru/sci/climate_engineering,https://chrdk.ru/,16.11.2016,Служба спасения от непогоды,"На Кавказе научились вызывать дождь, разгонять туман и отменять заморозки",,,Климат_Изменение климата_Интервью_Технологии
https://chrdk.ru/sci/conjoined_twins,https://chrdk.ru/,06.09.2017,Сиамские близнецы,Обреченные быть одним целым,Яна Пчелинцева,,История_Медицина
https://chrdk.ru/sci/constantine,https://chrdk.ru/,09.07.2015,Великие исторические подделки: «Константинов дар»,Как борьба с папой римским помогла создать историческую науку,,,История
https://chrdk.ru/sci/cp-symmetry_violation,https://chrdk.ru/,12.08.2016,Несимметричные нейтрино,Эксперименты с нейтрино могут объяснить преобладание материи во Вселенной,Екатерина Боровикова,,Физика_Интервью_Российская наука
https://chrdk.ru/sci/crafoord_prize_2017,https://chrdk.ru/,18.05.2017,Иммунитет против иммунитета,За что в 2017 году вручают премию Крафорда,Евгения Щербина,,Медицина
https://chrdk.ru/sci/crimean_atlantis,https://chrdk.ru/,14.03.2017,Город под водой,Что нам известно о «Крымской Атлантиде»,Евгения Щербина,,Археология_История_Российская наука
https://chrdk.ru/sci/crispr_cancer,https://chrdk.ru/,05.07.2016,Все лучше с CRISPR,Как редактирование ДНК может помочь иммунной системе бороться с раком,Екатерина Боровикова,,Медицина
https://chrdk.ru/sci/Dasha_and_Tosha_book,https://chrdk.ru/,15.08.2016,"Расстройство обыкновенное, городское",Авторы путеводителя по психическим расстройствам рассказывают о своей книге,Михаил Петров,,Психология_Нейронауки_Интервью_Медицина_Книги
https://chrdk.ru/sci/davaite-smenim-temu,https://chrdk.ru/,01.02.2017,Давайте сменим тему,Российской науке не хватает ресурсов и новизны,Евгения Щербина,,Российская наука_РАН
https://chrdk.ru/sci/dawkins_interview,https://chrdk.ru/,03.07.2017,«Мы на правильном пути»,"Ричард Докинз — об эгоистичном гене, мемах и своей атеистической борьбе",Иван Шунин,,Интервью
https://chrdk.ru/sci/dedy-koldovali,https://chrdk.ru/,24.05.2017,Деды колдовали,Что мы на самом деле знаем о язычестве древних славян,Евгения Щербина,,История
https://chrdk.ru/sci/Denisov_tetraquark,https://chrdk.ru/,11.03.2016,Кирпичики Вселенной,Почему в последнее время физики стали открывать так много новых частиц,Михаил Петров,,Физика_Интервью_Футурология_Большой адронный коллайдер_Технологии
https://chrdk.ru/sci/density_functional_theory_interview,https://chrdk.ru/,06.01.2017,Подрыв устоев,"Интервью о статье российских ученых в Science, которая может изменить современную квантовую химию",Александра Борисова,,Химия_Российская наука_РАН
https://chrdk.ru/sci/depending_on_the_weather,https://chrdk.ru/,28.07.2017,В зависимости от погоды,"Как погода влияет на наши эмоции, убеждения и решения",Екатерина Боровикова,,Психология_Социология
https://chrdk.ru/sci/derevya_prodolzhaut_pogloshhat_co2_iz_vozduha_eshhe_mesyats_posle_prekrashheniya_rosta,https://chrdk.ru/,02.12.2015,«Затормозить» глобальное потепление,"Как деревья спасают нас, изо всех сил поглощая углекислый газ из воздуха ",Екатерина Боровикова,,Биология_Климат_Российская наука
https://chrdk.ru/sci/diamond_plus_graphene,https://chrdk.ru/,18.03.2016,Алмаз с начинкой ,Физики научились надежно создавать графен из алмаза при помощи лазера,Михаил Петров,,Физика_Химия_Материаловедение_Нанотехнологии_Российская наука
https://chrdk.ru/sci/dissovet-oboshel-medinskogo-storonoi,https://chrdk.ru/,07.02.2017,Мединский готов дискутировать,Диссертационный совет истфака МГУ не нашел оснований для пересмотра диссертации министра культуры,Егор Быковский,,История_Российская наука
https://chrdk.ru/sci/dizenteriya_pronikla_na_drugie_kontinenty_iz_evropy,https://chrdk.ru/,08.04.2016,Нехороший подарок,"Ученые выяснили, что дизентерия проникла на другие континенты из Европы",Алиса Веселкова,,История_Биология_Российская наука_Медицина_Микробиология
