path,source,url,date,title,subtitle,author,rubrics,tags,genre
chrdk.ru/news/news_amerikanskie_uchenye_zapustili_otkrytuu_observatoriu_sotsialnyh_media.txt,https://chrdk.ru/,https://chrdk.ru/news/amerikanskie_uchenye_zapustili_otkrytuu_observatoriu_sotsialnyh_media,06.05.2016,Американские ученые запустили открытую «Обсерваторию социальных медиа»,,,,Социология_Информационные технологии,Новости
chrdk.ru/news/news_ammonium_trichloroacetate.txt,https://chrdk.ru/,https://chrdk.ru/news/ammonium_trichloroacetate,06.05.2016,Физхимики МГУ разработали «экологичный» метод выделения РНК,,,,Науки о живом_Молекулярная биология_Биология_Российская наука_Наука в университетах_МГУ им. М.В. Ломоносова,Новости
chrdk.ru/news/news_amoralnye-ateisty.txt,https://chrdk.ru/,https://chrdk.ru/news/amoralnye-ateisty,07.08.2017,"Атеисты считают атеистов более аморальными, чем верующих",,,,Психология_Социология,Новости
chrdk.ru/news/news_analiticheskogo-myshleniya-nedostatochno.txt,https://chrdk.ru/,https://chrdk.ru/news/analiticheskogo-myshleniya-nedostatochno,20.11.2017,Для рационального взгляда на мир аналитического мышления недостаточно,,,,Психология_Социология,Новости
chrdk.ru/news/news_analiz-uchastka-gena-pomog-otkryt.txt,https://chrdk.ru/,https://chrdk.ru/news/analiz-uchastka-gena-pomog-otkryt,10.10.2017,Анализ участка гена помог открыть новый вид ящериц,,,,Науки о живом_Животные,Новости
chrdk.ru/news/news_ancient_timor_ornamentation.txt,https://chrdk.ru/,https://chrdk.ru/news/ancient_timor_ornamentation,19.08.2016,В Восточном Тиморе найдены древнейшие украшения Юго-Восточной Азии,,,,Археология_Наука в университетах,Новости
chrdk.ru/news/news_and-oskar-goes-tooo.txt,https://chrdk.ru/,https://chrdk.ru/news/and-oskar-goes-tooo,07.02.2017,«Оскары» чаще выигрывают американские актеры в фильмах об американской культуре,,,,Психология_Социология,Новости
chrdk.ru/news/news_anomalnoe-poteplenie-snizhaet-urozhai.txt,https://chrdk.ru/,https://chrdk.ru/news/anomalnoe-poteplenie-snizhaet-urozhai,11.07.2017,Аномальное потепление в Арктике снижает урожаи в Северной Америке,,,,Климат_Изменение климата_Экология,Новости
chrdk.ru/news/news_Antarctic_Bacteria_Skoltech.txt,https://chrdk.ru/,https://chrdk.ru/news/Antarctic_Bacteria_Skoltech,28.04.2016,"Биологи показали, что бактерии попадают в Антарктиду с других континентов",,,,Молекулярная биология_Российская наука_Наука в университетах_Микробиология_Экология,Новости
chrdk.ru/news/news_antibakterialnye-veshchestva-peredayutsya-potomstvu.txt,https://chrdk.ru/,https://chrdk.ru/news/antibakterialnye-veshchestva-peredayutsya-potomstvu,10.08.2017,Антибактериальное мыло вредит потомству в организме матери,,,,Химия_Биология,Новости
chrdk.ru/news/news_antibiotik-protiv-ustoichivykh-bakterii.txt,https://chrdk.ru/,https://chrdk.ru/news/antibiotik-protiv-ustoichivykh-bakterii,11.05.2017,Ученые создали эффективный антибиотик против устойчивых бактерий,,,,Микробиология,Новости
chrdk.ru/news/news_antibiotiki-vredyat-pchelam.txt,https://chrdk.ru/,https://chrdk.ru/news/antibiotiki-vredyat-pchelam,16.03.2017,"Антибиотики вредят пчелам так же, как и людям",,,,Биология_Животные_Микробиология,Новости
chrdk.ru/news/news_Antikythera_inscriptions.txt,https://chrdk.ru/,https://chrdk.ru/news/Antikythera_inscriptions,14.06.2016,Ученые расшифровали надписи на древнем астрономическом приборе,,,,Археология_История_Репортаж_Видео_Выбор редакции,Новости
chrdk.ru/news/news_antioksidanty-snizhayut-risk-diabeta.txt,https://chrdk.ru/,https://chrdk.ru/news/antioksidanty-snizhayut-risk-diabeta,10.11.2017,Антиоксиданты снижают риск возникновения диабета,,,,Биология_Медицина,Новости
chrdk.ru/news/news_antropologi_predpolozhili_kogda_i_pochemu_ludi_priruchili_ogon.txt,https://chrdk.ru/,https://chrdk.ru/news/antropologi_predpolozhili_kogda_i_pochemu_ludi_priruchili_ogon,13.04.2016,"Антропологи объяснили, как люди «приручили» огонь",,,,Науки о живом_Палеонтология_Климат_Антропология,Новости
chrdk.ru/news/news_ants_underground.txt,https://chrdk.ru/,https://chrdk.ru/news/ants_underground,06.09.2016,Муравьи провалились под землю и построили там муравейник,,,,Биология_Животные,Новости
chrdk.ru/news/news_apostasia-sdala-vseh.txt,https://chrdk.ru/,https://chrdk.ru/news/apostasia-sdala-vseh,13.09.2017,Секвенирование генома апостасии прояснило эволюцию всех орхидных,,,,Генетика_Ботаника_Эволюционная биология,Новости
chrdk.ru/news/news_apparat_rozetta_upal_na_kometu_zavershiv_12_letnuu_missiu.txt,https://chrdk.ru/,https://chrdk.ru/news/apparat_rozetta_upal_na_kometu_zavershiv_12_letnuu_missiu,30.09.2016,"Аппарат «Розетта» упал на комету, завершив 12-летнюю миссию",,,,Космос_Технологии_Выбор редакции,Новости
chrdk.ru/news/news_applauding_lobopodian.txt,https://chrdk.ru/,https://chrdk.ru/news/applauding_lobopodian,31.01.2017,Древний родственник тихоходок «аплодировал» в поисках еды,,,,Палеонтология_Животные,Новости
chrdk.ru/news/news_arabidopsis_atlas.txt,https://chrdk.ru/,https://chrdk.ru/news/arabidopsis_atlas,08.09.2016,Биологи создали атлас экспрессии генов резуховидки,,,,Генетика_Биология_Российская наука_Наука в университетах_Растения,Новости
chrdk.ru/news/news_Arachnocampa_glue.txt,https://chrdk.ru/,https://chrdk.ru/news/Arachnocampa_glue,15.12.2016,Новозеландские энтомологи изучили ловчую слизь хищных личинок,,,,Науки о живом_Животные,Новости
chrdk.ru/news/news_archean_ocean_temperature.txt,https://chrdk.ru/,https://chrdk.ru/news/archean_ocean_temperature,06.06.2017,Температуру древних океанов замерили «белковым термометром»,,,,Молекулярная биология_Климат,Новости
